date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:14	2269/2269	---MCZ	200	added ('OK')	text/html	etag:%22d97157ea72d4da433970795022f616f8-ssl-df%22	https://trongemers.club/	C:/My%20Web%20Sites/trongemers/trongemers.club/index.html	(from )
00:01:14	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1588173640-ssl-df	https://trongemers.club/robots.txt		(from )
00:01:14	196/196	---M--	200	added ('OK')	text/html	etag:%22e425de53039f5de0aa51b5cbbdea4519-ssl%22	https://trongemers.club/images/icon.html	C:/My%20Web%20Sites/trongemers/trongemers.club/images/icon.html	(from https://trongemers.club/)
00:01:14	23007/23007	---MCZ	200	added ('OK')	text/html	etag:%2231612940c2c64b48e846c8dad2b4d420-ssl-df%22	https://trongemers.club/en/index.html	C:/My%20Web%20Sites/trongemers/trongemers.club/en/index.html	(from https://trongemers.club/)
00:01:15	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%225d76b537759b988c3237096b8abad9ea-ssl-df%22	https://trongemers.club/js/slick/slick.css	C:/My%20Web%20Sites/trongemers/trongemers.club/js/slick/slick.css	(from https://trongemers.club/en/index.html)
00:01:15	141067/141067	---MCZ	200	added ('OK')	text/css	etag:%2224299b01f454cfe32438d2ccfd1f63e9-ssl-df%22	https://trongemers.club/css/bootstrap.min.css	C:/My%20Web%20Sites/trongemers/trongemers.club/css/bootstrap.min.css	(from https://trongemers.club/en/index.html)
00:01:16	3346/3346	---M-Z	200	added ('OK')	text/css	etag:%22d2ee3a34a199ceed020701fe43b06f84-ssl-df%22	https://trongemers.club/js/slick/slick-theme.css	C:/My%20Web%20Sites/trongemers/trongemers.club/js/slick/slick-theme.css	(from https://trongemers.club/en/index.html)
00:01:16	17321/17321	---MCZ	200	added ('OK')	text/css	etag:%22a0b59be94f60f6fa34a32bc328a14597-ssl-df%22	https://trongemers.club/css/style.css	C:/My%20Web%20Sites/trongemers/trongemers.club/css/style.css	(from https://trongemers.club/en/index.html)
00:01:16	2967/2967	---M-Z	200	added ('OK')	text/css	etag:%22fff4f027be7a49d9d4b8e722529328d6-ssl-df%22	https://trongemers.club/css/media.css	C:/My%20Web%20Sites/trongemers/trongemers.club/css/media.css	(from https://trongemers.club/en/index.html)
00:01:17	10088/10088	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%220e72a411b3013975182cf0b614b4ba2c-ssl%22	https://trongemers.club/img/favico.ico	C:/My%20Web%20Sites/trongemers/trongemers.club/img/favico.ico	(from https://trongemers.club/en/index.html)
00:01:17	2997/2997	---M--	200	added ('OK')	image/png	etag:%22ec8d70675d24997df175ecb0105e97e3-ssl%22	https://trongemers.club/img/close.png	C:/My%20Web%20Sites/trongemers/trongemers.club/img/close.png	(from https://trongemers.club/en/index.html)
00:01:17	1616/1616	---M--	200	added ('OK')	image/png	etag:%22a2e86fdfd226355f8a44f0ce35e9d982-ssl%22	https://trongemers.club/img/icon_faq.png	C:/My%20Web%20Sites/trongemers/trongemers.club/img/icon_faq.png	(from https://trongemers.club/en/index.html)
00:01:17	1008/1008	---M--	200	added ('OK')	image/png	etag:%22684d97c877b482d9667d716353ca1bb6-ssl%22	https://trongemers.club/img/bg/burger.png	C:/My%20Web%20Sites/trongemers/trongemers.club/img/bg/burger.png	(from https://trongemers.club/en/index.html)
00:01:18	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1588173640-ssl-df	https://trongemers.club/ru/index.html	C:/My%20Web%20Sites/trongemers/trongemers.club/ru/index.html	(from https://trongemers.club/en/index.html)
